epoch,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy,loss,accuracy,val_loss,val_accuracy
0,0.09059318900108337,0.9884618520736694,0.06655392050743103,0.9850897192955017,0.11752695590257645,0.9795626401901245,0.0780891478061676,0.9787718057632446,0.14736513793468475,0.9631958603858948,0.08792400360107422,0.9709376096725464,0.1697222739458084,0.9463799595832825,0.08718711137771606,0.9709376096725464,0.11835772544145584,0.9804890155792236,0.06910686194896698,0.9823098182678223,0.2195666879415512,0.9348137378692627,0.16500839591026306,0.9355572462081909,0.13640443980693817,0.9701018929481506,0.06423789262771606,0.9800354242324829,0.1745629459619522,0.9457904100418091,0.06937450170516968,0.975233793258667,0.10857552289962769,0.9830156564712524,0.06753712147474289,0.9823098182678223,0.30905044078826904,0.8717890977859497,0.18673734366893768,0.926712155342102,0.09475243091583252,0.9865809679031372,0.0498768612742424,0.9873641729354858,0.14842627942562103,0.9650768041610718,0.07973438501358032,0.9742228984832764,0.10620128363370895,0.979085385799408,0.04713703319430351,0.9812989830970764,0.24889583885669708,0.9101653695106506,0.10722275823354721,0.9653778076171875,0.10711171478033066,0.9793661236763,0.05846235901117325,0.9805408120155334,0.09577171504497528,0.9871705174446106,0.04678097739815712,0.9893859028816223,0.27420279383659363,0.9027259349822998,0.1873459815979004,0.9221632480621338,0.13203130662441254,0.9751551151275635,0.09426011890172958,0.9732120633125305,0.12957096099853516,0.9659470319747925,0.05895064026117325,0.9812989830970764,0.11045712977647781,0.9789730906486511,0.05845627188682556,0.9812989830970764
1,0.044081155210733414,0.9887987375259399,0.05455203726887703,0.9853424429893494,0.06446897238492966,0.9799275398254395,0.06599000096321106,0.9792772531509399,0.06963719427585602,0.9769798517227173,0.06950893998146057,0.975233793258667,0.07929833978414536,0.971224844455719,0.07037889212369919,0.9762446284294128,0.05429501459002495,0.9823699593544006,0.05093495175242424,0.985595166683197,0.135390043258667,0.9462957382202148,0.14432381093502045,0.9438968896865845,0.05726160854101181,0.9808259010314941,0.046058300882577896,0.9850897192955017,0.06556368619203568,0.9775132536888123,0.05640421807765961,0.9815517067909241,0.05351467803120613,0.9834086894989014,0.04982280358672142,0.9835734367370605,0.1644991934299469,0.9348979592323303,0.16328857839107513,0.938589870929718,0.040117353200912476,0.9880126714706421,0.02669922076165676,0.9921658039093018,0.0697067454457283,0.9791696071624756,0.05750971660017967,0.9845842719078064,0.038200102746486664,0.986693263053894,0.03253095597028732,0.9878696203231812,0.09596621245145798,0.9684175252914429,0.09302595257759094,0.9696739912033081,0.04112319275736809,0.9862721562385559,0.0392862893640995,0.9893859028816223,0.04668119177222252,0.9876196384429932,0.03558257967233658,0.9901440739631653,0.15287892520427704,0.9401476383209229,0.15817774832248688,0.9368208646774292,0.07462693005800247,0.9769517779350281,0.07858245074748993,0.9757392406463623,0.05889511480927467,0.9793380498886108,0.04708530008792877,0.9845842719078064,0.054365962743759155,0.9817242622375488,0.05076054856181145,0.9835734367370605
2,0.03183820843696594,0.9905393123626709,0.04889167845249176,0.9873641729354858,0.05125323310494423,0.9818927049636841,0.06339231878519058,0.9812989830970764,0.05547941103577614,0.9799836874008179,0.06657516956329346,0.9759919047355652,0.06455999612808228,0.9765868186950684,0.06646284461021423,0.9764973521232605,0.03949514031410217,0.9872827529907227,0.047037042677402496,0.9871114492416382,0.11611717939376831,0.9549142122268677,0.1388654261827469,0.945918619632721,0.0421035997569561,0.9850369095802307,0.04393594339489937,0.985595166683197,0.05446028709411621,0.9810504913330078,0.05450029298663139,0.9825625419616699,0.04108697548508644,0.9864967465400696,0.04574897140264511,0.9845842719078064,0.1431085765361786,0.9436006546020508,0.15717509388923645,0.9368208646774292,0.024830294772982597,0.9929255247116089,0.021002937108278275,0.9941875338554382,0.052455902099609375,0.9832963943481445,0.0530143678188324,0.985595166683197,0.02624565176665783,0.9912972450256348,0.02851071208715439,0.9878696203231812,0.08079519867897034,0.9731899499893188,0.09079184383153915,0.9706848859786987,0.028751898556947708,0.9906235337257385,0.03573131933808327,0.9901440739631653,0.034638412296772,0.9898936152458191,0.032052069902420044,0.9909022450447083,0.12994661927223206,0.949776828289032,0.15293635427951813,0.9403588771820068,0.060116030275821686,0.9813873767852783,0.07592780143022537,0.9764973521232605,0.049655284732580185,0.9820892214775085,0.04373352602124214,0.9853424429893494,0.043933648616075516,0.9850649833679199,0.04871123656630516,0.9843316078186035
3,0.023703167214989662,0.9930378198623657,0.047684092074632645,0.9878696203231812,0.04262365400791168,0.9848403930664062,0.06396222114562988,0.9833207130432129,0.047436848282814026,0.9829314351081848,0.0668242797255516,0.9757392406463623,0.05667872726917267,0.9798714518547058,0.06575950235128403,0.9772555232048035,0.03240562230348587,0.9898655414581299,0.04662807658314705,0.9881223440170288,0.10363256186246872,0.9595744013786316,0.13864439725875854,0.9461713433265686,0.03532984480261803,0.987591564655304,0.044435448944568634,0.9861006140708923,0.04797167330980301,0.983492910861969,0.05496983602643013,0.9807935357093811,0.03407047316431999,0.9889110326766968,0.04546158015727997,0.9853424429893494,0.1298195719718933,0.9495803117752075,0.15601296722888947,0.9370735287666321,0.01824013888835907,0.9947502613067627,0.019831402227282524,0.9951984286308289,0.04367130622267723,0.9853737950325012,0.05312631279230118,0.9858478903770447,0.0206917617470026,0.9934027791023254,0.027039319276809692,0.9891331791877747,0.07171335071325302,0.9766148924827576,0.09126032143831253,0.9706848859786987,0.0229081641882658,0.9922798275947571,0.03490620106458664,0.9898913502693176,0.0277119018137455,0.9911007285118103,0.03205111250281334,0.9914076328277588,0.11733275651931763,0.9543527960777283,0.15312263369560242,0.9393479824066162,0.05172035098075867,0.9835489988327026,0.07689523696899414,0.9780136346817017,0.043335672467947006,0.9845877289772034,0.04261576756834984,0.9858478903770447,0.03689935430884361,0.9872546792030334,0.048454612493515015,0.984836995601654
4,0.018319446593523026,0.994413435459137,0.04826429858803749,0.988880455493927,0.03558686375617981,0.9870020747184753,0.06636043637990952,0.9828152656555176,0.040568768978118896,0.9854018688201904,0.0690300390124321,0.9757392406463623,0.05041465535759926,0.9822576642036438,0.06652898341417313,0.9782663583755493,0.027339467778801918,0.99146568775177,0.04770876094698906,0.9886277914047241,0.09296382963657379,0.964038074016571,0.14169761538505554,0.9449077844619751,0.030235199257731438,0.989472508430481,0.0458703376352787,0.985595166683197,0.04261838272213936,0.9854299426078796,0.056589145213365555,0.9802880883216858,0.02852649800479412,0.9904831647872925,0.04649447277188301,0.9858478903770447,0.11860424280166626,0.954184353351593,0.15782290697097778,0.9365681409835815,0.014140000566840172,0.9959012866020203,0.02000083588063717,0.9954510927200317,0.037041302770376205,0.9874231219291687,0.05520101636648178,0.9861006140708923,0.016962626948952675,0.9948344826698303,0.026726756244897842,0.9893859028816223,0.06419593840837479,0.9791976809501648,0.093154676258564,0.9696739912033081,0.018659986555576324,0.9941326975822449,0.034984562546014786,0.9893859028816223,0.022588424384593964,0.9925044178962708,0.03327430784702301,0.9914076328277588,0.10686581581830978,0.9588444828987122,0.15624096989631653,0.9388425946235657,0.04500798508524895,0.9855141639709473,0.07978732883930206,0.978519082069397,0.03755676746368408,0.9866371154785156,0.042785562574863434,0.9858478903770447,0.030958307906985283,0.9893602132797241,0.04965691640973091,0.985595166683197
5,0.01414761133491993,0.9955644011497498,0.05029870197176933,0.988880455493927,0.029352545738220215,0.989753246307373,0.07004556804895401,0.9818044304847717,0.03402681276202202,0.9882372617721558,0.07300098240375519,0.9754865169525146,0.04455021768808365,0.9850088357925415,0.06842140853404999,0.9775082468986511,0.02297072298824787,0.992672860622406,0.04987360164523125,0.9881223440170288,0.08283406496047974,0.9687544107437134,0.14753524959087372,0.9441496133804321,0.025697939097881317,0.9912130236625671,0.04793357849121094,0.984836995601654,0.03752701357007027,0.987086296081543,0.05897490307688713,0.9790245294570923,0.023598559200763702,0.9924201965332031,0.0486639104783535,0.9858478903770447,0.1079210638999939,0.9581987857818604,0.16184820234775543,0.9353045225143433,0.01090728398412466,0.9969680905342102,0.021109802648425102,0.9946929812431335,0.03106345608830452,0.9889671802520752,0.058517035096883774,0.985595166683197,0.013942389748990536,0.9958451390266418,0.027255935594439507,0.9893859028816223,0.05725456401705742,0.9815277457237244,0.09596717357635498,0.9689158797264099,0.015011049807071686,0.9951432943344116,0.03580798953771591,0.98963862657547,0.018136022612452507,0.9939361810684204,0.03532491251826286,0.9911549091339111,0.09693735092878342,0.9632800817489624,0.16168372333049774,0.9411170482635498,0.03870648518204689,0.9876757860183716,0.08417569100856781,0.9775082468986511,0.03185155987739563,0.988939106464386,0.04403020814061165,0.985595166683197,0.025545310229063034,0.9916060566902161,0.05199966952204704,0.984836995601654
6,0.010688291862607002,0.9967715740203857,0.05385800078511238,0.9891331791877747,0.023794298991560936,0.9921675324440002,0.0747101679444313,0.9815517067909241,0.02785995602607727,0.9905112385749817,0.07855156809091568,0.9742228984832764,0.038756269961595535,0.9873950481414795,0.07136227190494537,0.9770027995109558,0.01895572990179062,0.9941046237945557,0.052997857332229614,0.9878696203231812,0.07293155044317245,0.9732460975646973,0.15582828223705292,0.9413697123527527,0.021468019112944603,0.9930939674377441,0.05071013793349266,0.9843316078186035,0.032464399933815,0.9892759919166565,0.06206514686346054,0.9782663583755493,0.01909024827182293,0.993880033493042,0.05167544260621071,0.9866060018539429,,,,,0.008198274299502373,0.9976980090141296,0.02290879189968109,0.9939348101615906,0.025453289970755577,0.9914095401763916,0.06275621056556702,0.9850897192955017,0.011314927600324154,0.9968557953834534,0.028371982276439667,0.988880455493927,0.050575949251651764,0.9838858842849731,0.09941140562295914,0.9681577086448669,0.011751220561563969,0.9965189099311829,0.037385474890470505,0.98963862657547,0.014165407977998257,0.9951432943344116,0.038130439817905426,0.9911549091339111,0.08718143403530121,0.9675472378730774,0.16924136877059937,0.9401061534881592,0.03262324631214142,0.9895848035812378,0.08982966095209122,0.9772555232048035,0.026293102651834488,0.9912410974502563,0.046288177371025085,0.9843316078186035,0.020537786185741425,0.9937677383422852,0.05535826086997986,0.9840788841247559
7,0.007850954309105873,0.9976418614387512,0.058221325278282166,0.9891331791877747,0.01897726021707058,0.9938519597053528,0.08006098121404648,0.9815517067909241,,,,,0.03305176645517349,0.9893882870674133,0.07546878606081009,0.9759919047355652,0.015268550254404545,0.9952555894851685,0.05694612115621567,0.9873641729354858,0.0633147731423378,0.9776816964149475,0.1662130057811737,0.9388425946235657,0.017540115863084793,0.9946098923683167,0.05430997908115387,0.9838261604309082,,,,,0.015099048614501953,0.9952275156974792,0.05532023683190346,0.9866060018539429,,,,,0.0059549640864133835,0.9982874989509583,0.025050289928913116,0.9931766390800476,0.020306281745433807,0.9934027791023254,0.06772154569625854,0.985595166683197,0.008999944664537907,0.9976980090141296,0.02980753779411316,0.9893859028816223,,,,,,,,,0.010787692852318287,0.9966592788696289,0.04176146909594536,0.9914076328277588,0.07767307013273239,0.9718143939971924,0.17872227728366852,0.9393479824066162,0.02688216231763363,0.991858720779419,0.09671799838542938,0.9764973521232605,0.021078146994113922,0.9931781888008118,0.0495503805577755,0.9835734367370605,0.016036266461014748,0.9952275156974792,0.059686534106731415,0.9835734367370605
8,0.005638022441416979,0.9983717203140259,0.0631936639547348,0.9893859028816223,,,,,,,,,0.027571391314268112,0.9909603595733643,0.08072284609079361,0.974475622177124,0.011966889724135399,0.9966873526573181,0.06154785677790642,0.9871114492416382,,,,,,,,,,,,,0.011717382818460464,0.9963785409927368,0.05947962403297424,0.9866060018539429,,,,,0.0042153624817729,0.9989051222801208,0.027357248589396477,0.9929239749908447,0.01579565554857254,0.9953959584236145,0.07327543199062347,0.9853424429893494,0.006995776668190956,0.9984278678894043,0.03153540939092636,0.9893859028816223,,,,,,,,,,,,,0.06858810782432556,0.9756042957305908,0.18994826078414917,0.9383371472358704,0.021637605503201485,0.9935431480407715,0.10486961156129837,0.9764973521232605,,,,,0.012161152437329292,0.9965469837188721,0.06491319835186005,0.9833207130432129
9,0.003995788283646107,0.9990454912185669,0.06876670569181442,0.988880455493927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009061399847269058,0.9973330497741699,0.06416710466146469,0.9866060018539429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06006679683923721,0.9792538285255432,0.20285972952842712,0.9370735287666321,,,,,,,,,,,,
10,0.00284413225017488,0.9992981553077698,0.07484626024961472,0.9886277914047241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007018227130174637,0.9979787468910217,0.06929384171962738,0.9876168966293335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0020561066921800375,0.9995788931846619,0.08124178647994995,0.9881223440170288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005409521516412497,0.9985120892524719,0.07467401772737503,0.9878696203231812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0015159208560362458,0.9996631145477295,0.08779168128967285,0.9876168966293335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004184953402727842,0.9988770484924316,0.08020265400409698,0.9876168966293335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032518310472369194,0.9991016387939453,0.08578469604253769,0.9876168966293335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002535367151722312,0.9993543028831482,0.09126956760883331,0.9871114492416382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019725216552615166,0.9995227456092834,0.09679475426673889,0.9868587255477905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
